# Time-averaged data for fix COMOUT
# TimeStep c_COM[1] c_COM[2] c_COM[3]
16900 23.9581 -0.392077 1.02302
17000 24.0324 -0.511439 1.04871
17100 24.1237 -0.526042 1.14493
17200 24.2166 -0.526814 1.24263
17300 24.2315 -0.575121 1.27231
17400 24.2135 -0.60471 1.24588
17500 24.2689 -0.667839 1.16147
17600 24.2781 -0.764678 1.05722
17700 24.2663 -0.898471 0.923155
17800 24.2237 -0.948429 0.822264
17900 24.1166 -1.0389 0.774027
18000 24.0463 -1.14673 0.731874
18100 24.0442 -1.2957 0.68658
18200 23.9516 -1.33653 0.656052
18300 23.9168 -1.36992 0.641728
18400 23.904 -1.34366 0.687521
18500 23.8627 -1.31212 0.759965
18600 23.8334 -1.22669 0.836344
18700 23.8686 -1.12503 0.977251
18800 23.8517 -1.1079 1.08897
18900 23.8523 -1.0844 1.13448
19000 23.8337 -1.06518 1.14252
19100 23.7651 -0.985063 1.14251
19200 23.6823 -0.98334 1.19827
19300 23.6657 -1.02023 1.24343
19400 23.6296 -1.10948 1.23201
19500 23.5598 -1.24165 1.15462
19600 23.477 -1.42086 1.15196
19700 23.4528 -1.54355 1.09855
19800 23.4342 -1.6557 1.09083
19900 23.4561 -1.70963 1.13423
20000 23.4958 -1.82105 1.25993
20100 23.5544 -1.8535 1.3148
20200 23.5635 -1.97185 1.44921
20300 23.5627 -2.02504 1.55116
20400 23.6471 -1.99295 1.53726
20500 23.7249 -1.97788 1.42501
20600 23.714 -1.94545 1.37991
20700 23.6541 -1.93685 1.3691
20800 23.5194 -1.91237 1.34179
20900 23.4553 -1.98738 1.19581
21000 23.3711 -2.00197 1.16623
21100 23.2963 -2.06393 1.10094
21200 23.3781 -2.18827 1.08109
21300 23.3376 -2.20679 1.00483
21400 23.3015 -2.16325 0.831615
21500 23.2592 -2.13886 0.789818
21600 23.2423 -2.11816 0.854405
21700 23.2638 -2.14216 0.894709
21800 23.2837 -2.12271 0.945824
21900 23.2797 -2.23829 0.941655
22000 23.1965 -2.34456 0.954728
22100 23.2197 -2.32337 0.901699
22200 23.314 -2.25196 0.950033
22300 23.2829 -2.25304 1.01708
22400 23.1459 -2.3705 1.02063
22500 23.1168 -2.37274 1.06768
22600 23.0561 -2.37033 1.13747
22700 23.1376 -2.36734 1.12915
22800 23.1614 -2.27623 1.21402
22900 23.082 -2.18518 1.24438
23000 23.058 -2.09345 1.21214
23100 23.0165 -2.10537 1.26941
23200 23.0211 -2.1167 1.3394
23300 23.0301 -2.16756 1.3338
23400 23.0564 -2.18532 1.31505
23500 22.9728 -2.17181 1.25857
23600 22.9823 -2.137 1.15875
23700 22.9741 -2.07386 1.14584
23800 22.9342 -1.9352 1.16354
23900 22.9253 -1.83886 1.10774
24000 22.8615 -1.78278 1.08944
24100 22.7608 -1.75027 1.19005
24200 22.7165 -1.68399 1.22925
24300 22.7502 -1.63361 1.30938
24400 22.7352 -1.65917 1.33037
24500 22.782 -1.76937 1.397
24600 22.7795 -1.8689 1.40895
24700 22.8085 -1.89956 1.45223
24800 22.8588 -1.91328 1.52182
24900 22.9944 -1.9252 1.4976
25000 23.1362 -1.86579 1.48383
25100 23.1657 -1.82672 1.46861
25200 23.1126 -1.78386 1.48214
25300 23.0764 -1.72055 1.55232
25400 22.9886 -1.7479 1.58233
25500 22.9566 -1.77342 1.5769
25600 23.0571 -1.7628 1.6356
25700 23.0691 -1.79168 1.69983
25800 22.9999 -1.83094 1.66771
25900 22.9703 -1.85463 1.58778
26000 22.9233 -1.86668 1.4695
26100 22.873 -1.94261 1.4381
26200 22.9457 -1.89187 1.44296
26300 23.0592 -1.87385 1.41029
26400 23.1664 -1.86483 1.38824
26500 23.1677 -1.88587 1.48338
26600 23.059 -1.97978 1.57661
26700 23.0011 -2.08404 1.68212
26800 22.9719 -2.13136 1.72461
26900 22.9929 -2.15523 1.6385
27000 23.068 -2.14525 1.5312
27100 23.0835 -2.17353 1.40733
27200 23.1285 -2.20272 1.33577
27300 23.1659 -2.23314 1.32431
27400 23.2014 -2.22021 1.28369
27500 23.1962 -2.27261 1.30204
27600 23.1593 -2.33634 1.34474
27700 23.2199 -2.41965 1.48649
27800 23.3341 -2.44065 1.50518
27900 23.4323 -2.46441 1.53694
28000 23.4596 -2.49569 1.50305
28100 23.4469 -2.49527 1.46024
28200 23.4571 -2.48519 1.4061
28300 23.3951 -2.48603 1.33933
28400 23.2927 -2.56512 1.22973
28500 23.2865 -2.64696 1.11952
28600 23.2816 -2.52156 1.05595
28700 23.3063 -2.4932 1.05243
28800 23.3147 -2.50918 1.01165
28900 23.2669 -2.49948 1.01377
29000 23.2602 -2.43055 1.01167
29100 23.244 -2.3785 0.951314
29200 23.156 -2.37953 0.977664
29300 23.0766 -2.40209 1.03286
29400 23.0446 -2.39908 1.14713
29500 23.0387 -2.4585 1.1611
29600 23.0205 -2.50767 1.13917
29700 22.9076 -2.581 1.10725
29800 22.9256 -2.63343 1.08659
29900 22.9054 -2.69936 1.07235
30000 22.8903 -2.70626 1.04834
30100 22.8488 -2.68526 1.09407
30200 22.8895 -2.59683 1.14632
30300 22.8693 -2.50447 1.06878
30400 22.7817 -2.40797 0.910081
30500 22.7929 -2.39175 0.798861
30600 22.7763 -2.35399 0.684269
30700 22.8352 -2.34363 0.686465
30800 22.8299 -2.262 0.646087
30900 22.788 -2.17349 0.520109
31000 22.6978 -2.14504 0.287575
31100 22.5617 -2.11626 0.0639468
31200 22.4534 -2.11393 -0.0572443
31300 22.3316 -2.05432 -0.166814
31400 22.2138 -2.01234 -0.27922
31500 22.1002 -2.0595 -0.259126
31600 22.0297 -2.01726 -0.270541
31700 22.0338 -1.97508 -0.300657
31800 22.0361 -2.0874 -0.42989
31900 22.0055 -2.22065 -0.481839
32000 22.0248 -2.2495 -0.457643
32100 21.9804 -2.2322 -0.451899
32200 21.9567 -2.21786 -0.421929
32300 21.954 -2.21031 -0.299995
32400 21.9002 -2.22358 -0.256948
32500 21.958 -2.21024 -0.19588
32600 21.9594 -2.19082 -0.216272
